sarcoma_hist
8850/1
8850/3
8858/3
8852/3
8853/3
8854/3
8859/3
8821/1
8834/1
8832/1
8832/3
8833/1
8815/1
8815/3
8825/3
8840/3
8811/1
8814/3
8810/3
8811/3
8835/1
9252/1
9252/3
9251/1
8830/3
8890/3
8711/3
8910/3
8920/3
8912/3
8901/3
9130/1
9136/1
9135/1
9140/3
9133/3
9120/3
8931/3
8936/1
8936/3
8836/1
9373/1
8982/0
8982/3
8940/0
8940/3
9040/3
9041/3
9043/3
8804/3
9581/3
9044/3
9231/3
9364/3
8806/3
8963/3
8990/3
8714/0
8714/3
9137/3
9180/3
9240/3
9540/3
9542/3
9561/3
9580/3
8801/3
8802/3
8803/3
8805/3
8930/3
8897/1
8890/1
8898/1
8891/3
8896/3
8900/3
9222/1
9222/3
9220/3
9221/3
9243/3
9242/3
9181/3
9187/3
9184/3
9192/3
9193/3
9194/3
9250/1
9250/3
9370/3
9366/3
9367/3
9368/3
9261/3
8851/3
8831/3
9130/3
9260/3
8800/3
9186/3
